10690	2336	3
124	3790	19
12	3742	8
7	5306	0
1441	7413	0
8	7944	21
6690	2030	5
101	2704	6
300	483	1
14	4658	7
116	5624	17
10370	6491	9
6463	4900	10
12156	3156	4
14	26	5
268	3921	2
42538	7576	6
19062	2207	7
14	4945	13
14	9043	10
41929	5926	22
13049	1997	5
29974	8859	2
102	4567	4
2372	510	26
101	6206	18
20337	9112	3
31291	6875	7
1053	88	0
4172	4489	21
12	9974	2
1943	6899	4
2300	2352	16
11478	3948	6
24324	2080	6
113	8060	21
9417	1327	10
7	5107	0
6158	4159	12
295	8726	2
2467	2516	6
3023	6531	3
104	1736	10
14333	9945	1
8926	6275	1
6385	2741	5
510	1759	1
319	834	11
122	7045	13
274	2734	2
2298	9823	0
1302	1992	4
184	7568	2
1178	7777	8
31791	6708	2
14	5144	13
3008	921	16
101	8667	4
480	3854	1
3918	9121	4
12765	9974	12
43393	4073	24
42256	325	2
179	6035	4
21883	9959	1
14371	7282	13
14	3345	10
1989	3433	4
499	4457	6
278	9984	9
170	894	0
14916	1287	5
27067	393	14
36812	2021	1
13433	2933	13
32703	7743	30
2	1527	12
258	7181	3
158	8749	5
1188	9187	10
405	7692	9
2594	6362	5
35009	6149	8
27183	9516	10
13860	8665	1
35258	3647	2
4204	1727	21
369	4167	4
234	539	7
14	9334	16
11510	2413	7
38029	8340	3
10186	3554	5
42854	5055	14
124	9705	11
102	1691	10
461	2497	1
39449	3747	15
14	6974	14
126	2967	9
11009	4273	4
460	7180	9
11275	6922	17
116	4698	9
190	449	11
6715	2910	9
14	9145	6
1871	1589	8
1202	92	7
14	567	9
8530	6661	0
1208	8651	5
1247	9416	1
106	4171	4
144	1617	10
359	4421	8
11428	1360	12
836	8380	6
38353	3831	6
14	3025	12
42072	7757	17
9890	5533	5
106	2949	3
185	50	9
11496	1445	3
15445	757	0
1578	498	0
9809	7523	6
279	7587	5
40953	8063	18
9476	2522	7
14	5141	24
26107	8814	2
102	1786	5
1583	7921	11
14	499	24
11476	9443	9
456	6913	9
232	5523	4
102	8179	2
292	7125	9
584	2118	0
1783	7510	7
107	616	8
39159	5184	5
102	4571	5
225	549	0
2269	4917	9
25719	9558	3
387	1761	15
7445	2109	5
2631	1056	0
334	4494	11
761	5776	9
264	1468	21
31886	476	8
4627	4158	3
113	6491	10
101	7257	15
44778	5206	5
8	773	5
141	3123	3
24099	8506	0
38792	6129	4
31227	742	8
19411	4858	13
3557	9836	11
3909	3159	3
1361	1754	4
525	7987	16
5610	9908	7
9	6469	11
783	7016	4
14	9937	11
101	9438	7
14	145	6
38787	4254	12
209	8213	5
1333	9505	0
14	8442	21
101	9753	7
384	6510	8
9	7042	11
1097	1548	19
30380	9606	7
311	59	1
101	89	10
9406	4980	7
2680	7795	4
336	1625	9
1367	2163	7
151	5133	1
9153	9269	9
101	3858	7
14	498	12
18646	1584	8
650	8668	8
12	7518	3
11917	4687	2
3890	3805	2
740	1325	0
24273	8641	0
13172	9155	5
15225	7822	6
16040	1457	0
31566	2056	14
105	1833	11
40595	6205	1
1927	4721	17
15622	1008	0
445	3171	15
14	9468	7
166	3775	5
5	1792	5
1159	1744	1
8799	4908	14
27890	8428	21
12	7696	5
4912	4017	6
249	7167	9
12243	3929	7
22006	6710	0
1466	5565	10
102	9075	12
